"","Artists_names","titles","links"
"1","Sheila Robertson","Standing Male Nudes (1950)","https://collections.ed.ac.uk/art/record/20808?highlight=*:*"
"2","Helen Wishart","Untitled - Still Life with Flowers and Pitchers (1963)","https://collections.ed.ac.uk/art/record/99452?highlight=*:*"
"3","J Lord","Seated Male Nude (1965)","https://collections.ed.ac.uk/art/record/21291?highlight=*:*"
"4","John Brown","The Misadventure (1989)","https://collections.ed.ac.uk/art/record/99468?highlight=*:*"
"5","Rachael Cawley","Madonna of the Roses (2007)","https://collections.ed.ac.uk/art/record/99968?highlight=*:*"
"6","Robin E. Bownass","Unknown (1960)","https://collections.ed.ac.uk/art/record/50606?highlight=*:*"
"7","John P Busby","Woman Seated (1954)","https://collections.ed.ac.uk/art/record/21380?highlight=*:*"
"8","Norman Orr","Untitled (12 Jun 2014)","https://collections.ed.ac.uk/art/record/22479?highlight=*:*"
"9","Emma Gillies","Espresso Saucer","https://collections.ed.ac.uk/art/record/53680?highlight=*:*"
"10","Valerie Donaldson","Stretching Male Nude (Circa 1953)","https://collections.ed.ac.uk/art/record/20949?highlight=*:*"
"11","Richard Easson","Untitled (1969)","https://collections.ed.ac.uk/art/record/99830?highlight=*:*"
"12","Meriel A W de C Acton","Untitled - Nude Woman in Red Reclining on a Red Couch (1963)","https://collections.ed.ac.uk/art/record/99476?highlight=*:*"
"13","Allison E Sharpe","Pylons in the Landscape (01 May 1985)","https://collections.ed.ac.uk/art/record/21468?highlight=*:*"
"14","Alistair Fairweather","Unknown (1952)","https://collections.ed.ac.uk/art/record/50422?highlight=*:*"
"15","Emma Gillies","Teacup","https://collections.ed.ac.uk/art/record/53649?highlight=*:*"
"16","Alexander F Mitchell","Portrait of a Young Man (1950)","https://collections.ed.ac.uk/art/record/21056?highlight=*:*"
"17","Unknown","Summer Fayre","https://collections.ed.ac.uk/art/record/22658?highlight=*:*"
"18","Plehakraborty","Seated Male Nude with Foot Resting on Stool (1961)","https://collections.ed.ac.uk/art/record/21296?highlight=*:*"
"19","Robert Rivers","Untitled (1983)","https://collections.ed.ac.uk/art/record/99801?highlight=*:*"
"20","Unknown","Bust of Queen Nefertiti (White)","https://collections.ed.ac.uk/art/record/20622?highlight=*:*"
"21","J Salter","Seated Male Nude (1955)","https://collections.ed.ac.uk/art/record/21193?highlight=*:*"
"22","Thomson","Portrait of a Woman's Head (1948)","https://collections.ed.ac.uk/art/record/20842?highlight=*:*"
"23","Ian G. Robertson","Abstract Composition with Blue Stripes (1969)","https://collections.ed.ac.uk/art/record/22562?highlight=*:*"
"24","C Byron","Portrait of a Man Seated (1959)","https://collections.ed.ac.uk/art/record/20914?highlight=*:*"
"25","Pamela Richardson","Horse of Selene from the east pediment","https://collections.ed.ac.uk/art/record/20634?highlight=*:*"
"26","Laura McPherson","Untitled (1987)","https://collections.ed.ac.uk/art/record/21570?highlight=*:*"
"27","Charles Myatt","Untitled - Abstract Road (1965)","https://collections.ed.ac.uk/art/record/99393?highlight=*:*"
"28","Bull","Obstacle - Exploded Drawing (2014)","https://collections.ed.ac.uk/art/record/47456?highlight=*:*"
"29","Diana M. Douglas-Hamilton","Still Life with Teapot","https://collections.ed.ac.uk/art/record/20757?highlight=*:*"
"30",NA,"Full length portrait of man from behind with three-point hat and sabre (22 Mar 1951)","https://collections.ed.ac.uk/art/record/53527?highlight=*:*"
"31","Emma Gillies","Saucer","https://collections.ed.ac.uk/art/record/53624?highlight=*:*"
"32","Sheila Turnbull","Unknown (1947)","https://collections.ed.ac.uk/art/record/50455?highlight=*:*"
